ts,host,url,hour,dns_ms,tcp_ms,tls_ms,server_ms,transfer_ms,total_ms,response_size,http_status,cache_state,conn_reuse,success,error_stage,error_type,source
2026-09-05T22:34:03,httpbin.org,https://httpbin.org/status/500,22,1.201,266.884,537.212,418.661,0.1,1245.025,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:34:06,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12045.546,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:34:19,google.com,https://google.com/,22,0.711,58.751,63.599,118.655,0.081,261.119,847,301,cold,0,1,,,real
2026-09-05T22:34:20,cloudflare.com,https://cloudflare.com/,22,0.875,58.72,47.274,128.528,0.125,260.807,1158,301,cold,0,1,,,real
2026-09-05T22:34:21,expired.badssl.com,https://expired.badssl.com/,22,0.735,220.882,,,,468.656,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:34:23,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.797,220.775,,,,461.172,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:34:24,github.com,https://github.com/duong-dan-loi-404-test,22,28.703,85.383,75.754,148.465,294.085,653.807,271669,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:34:26,httpbin.org,https://httpbin.org/status/500,22,0.852,273.005,544.328,273.789,0.104,1115.561,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:34:28,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12043.049,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:34:41,google.com,https://google.com/,22,1.075,63.192,66.737,123.271,0.096,272.057,847,301,cold,0,1,,,real
2026-09-05T22:34:42,cloudflare.com,https://cloudflare.com/,22,1.18,57.861,47.097,128.206,0.11,260.225,1156,301,cold,0,1,,,real
2026-09-05T22:34:44,expired.badssl.com,https://expired.badssl.com/,22,1.158,220.528,,,,468.957,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:34:45,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.909,220.243,,,,462.772,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:34:47,github.com,https://github.com/duong-dan-loi-404-test,22,0.817,63.458,68.621,130.162,326.651,615.507,271692,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:34:48,httpbin.org,https://httpbin.org/status/500,22,28.492,276.436,510.395,255.3,0.09,1098.16,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:34:50,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12022.089,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:35:03,google.com,https://google.com/,22,20.326,48.221,67.475,121.465,0.195,280.567,847,301,cold,0,1,,,real
2026-09-05T22:35:05,cloudflare.com,https://cloudflare.com/,22,0.991,39.012,44.369,127.114,0.101,228.148,1156,301,cold,0,1,,,real
2026-09-05T22:35:06,expired.badssl.com,https://expired.badssl.com/,22,0.99,217.173,,,,467.753,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:35:07,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,0.739,219.498,,,,474.353,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:35:09,github.com,https://github.com/duong-dan-loi-404-test,22,19.986,86.946,77.435,152.114,299.133,658.152,271672,404,cold,0,0,HTTP,status_404,real
